22--INFO--2024-05-11 19:01:46,199--data ingestion started
30--INFO--2024-05-11 19:01:46,215--row data saved 
32--INFO--2024-05-11 19:01:46,215--split train and test data
35--INFO--2024-05-11 19:01:46,215--saved train data
37--INFO--2024-05-11 19:01:46,215--saved test data
43--INFO--2024-05-11 19:01:46,215--trasnformation initiated
46--INFO--2024-05-11 19:01:46,231--read test and train data
54--INFO--2024-05-11 19:01:46,246--transformation has been complited
17--INFO--2024-05-11 19:01:46,246--pickle dump succesfully
59--INFO--2024-05-11 19:01:46,246--save preprocessor object
60--INFO--2024-05-11 19:01:46,246--data tranformation has been complited
33--INFO--2024-05-11 19:01:46,246--read x_train,x_test,y_train,y_test
38--INFO--2024-05-11 19:01:46,262--model score is 1.0
17--INFO--2024-05-11 19:01:46,262--pickle dump succesfully
42--INFO--2024-05-11 19:01:46,262--model traing has been complited and we have saved the model
