22--INFO--2024-05-11 18:59:25,339--data ingestion started
30--INFO--2024-05-11 18:59:25,358--row data saved 
32--INFO--2024-05-11 18:59:25,358--split train and test data
35--INFO--2024-05-11 18:59:25,370--saved train data
37--INFO--2024-05-11 18:59:25,375--saved test data
43--INFO--2024-05-11 18:59:25,375--trasnformation initiated
46--INFO--2024-05-11 18:59:25,388--read test and train data
54--INFO--2024-05-11 18:59:25,388--transformation has been complited
17--INFO--2024-05-11 18:59:25,403--pickle dump succesfully
59--INFO--2024-05-11 18:59:25,403--save preprocessor object
60--INFO--2024-05-11 18:59:25,403--data tranformation has been complited
33--INFO--2024-05-11 18:59:25,403--read x_train,x_test,y_train,y_test
38--INFO--2024-05-11 18:59:25,405--model score is 1.0
17--INFO--2024-05-11 18:59:25,405--pickle dump succesfully
42--INFO--2024-05-11 18:59:25,405--model traing has been complited and we have saved the model
