22--INFO--2024-05-11 18:58:48,984--data ingestion started
30--INFO--2024-05-11 18:58:49,000--row data saved 
32--INFO--2024-05-11 18:58:49,000--split train and test data
35--INFO--2024-05-11 18:58:49,000--saved train data
37--INFO--2024-05-11 18:58:49,000--saved test data
43--INFO--2024-05-11 18:58:49,000--trasnformation initiated
46--INFO--2024-05-11 18:58:49,030--read test and train data
54--INFO--2024-05-11 18:58:49,038--transformation has been complited
17--INFO--2024-05-11 18:58:49,041--pickle dump succesfully
59--INFO--2024-05-11 18:58:49,041--save preprocessor object
60--INFO--2024-05-11 18:58:49,043--data tranformation has been complited
33--INFO--2024-05-11 18:58:49,043--read x_train,x_test,y_train,y_test
38--INFO--2024-05-11 18:58:49,043--model score is 1.0
17--INFO--2024-05-11 18:58:49,052--pickle dump succesfully
42--INFO--2024-05-11 18:58:49,052--model traing has been complited and we have saved the model
